,DT9_11,DT9_415,DT1_11,DT1_415,DT8_11,DT8_415,DT7_11,DT7_415,DT5_11,DT5_415,DT6_11,DT6_415,DT2_11,DT2_415,DT3_11,DT3_415,DT4_11,DT4_415,SS1_11
10,0.00032705498551892115,-0.00866637273429297,-0.0007156888997976039,-0.004731237152523725,0.0002494147850306235,0.0031876174223930843,2.532018550231332e-05,-0.005266788927384664,-0.0007075376673452364,-0.0026595279133380585,-0.0007132879712844387,-0.007339498013489748,-0.0007108203822577933,-0.0020426026634356395,-0.0007169360558447931,-0.0019971483943376773,-0.0007081613530484627,-0.004654337323129714,-0.0007209415119146946
11,0.00050350083522937,-0.009704648287016702,-0.0007246967493208484,-0.0047299214852355035,0.00041333553176265434,0.0039408627301961395,3.217601280448556e-05,-0.005338654702736083,-0.0007165587591748566,-0.002664318869755942,-0.000719257462782986,-0.007342498661609603,-0.0007198337142395007,-0.0020385243887029764,-0.0007259494092042588,-0.002005959194563627,-0.0007171816976851617,-0.004651834243660554,-0.0007329727383704529
12,0.0004146042568614566,-0.009709495216687961,-0.0008278850922633322,-0.004909100087654534,0.0003253104919563836,0.004135209845417524,1.606591625644116e-05,-0.005877932874664708,-0.0008188373165173514,-0.0030705479600060697,-0.0008207837424383447,-0.008016344944411093,-0.0008225703322632644,-0.0030498246812658714,-0.0008285371910272465,-0.003063297576432367,-0.0008195186778911364,-0.005316223186400076,-0.0008384444181561221
13,0.00014532320441063706,-0.009938798088053053,-0.001093867287039561,-0.007534466973132283,5.644372146069424e-05,0.0038714688860658282,-7.822993982819899e-05,-0.007011385770604322,-0.0010815669110987435,-0.004960411000905264,-0.0010859575831248343,-0.009065996022965622,-0.0010870620399368294,-0.004905424569191167,-0.0010923829122370889,-0.00559332867638338,-0.0010826933107748204,-0.006574665437570626,-0.0011079175182890002
14,0.0004736440370286026,-0.008971754542201251,-0.0006595908805042429,-0.004460636803666874,0.0003913633411669266,0.0038222199815924063,-4.385092724425762e-05,-0.0045543648111823695,-0.0006519860324038179,-0.002518542927122301,-0.0006557132833874675,-0.0057748589820402554,-0.0006548337365600354,-0.0025356820016528133,-0.0006609495485343216,-0.0019399827721285603,-0.0006525946696989683,-0.0037488551490445342,-0.0006661228173705601
15,0.0003459643061806718,-0.00890385520037266,-0.0007239756740380088,-0.003924396658859311,0.00026569444752631274,0.0031822121481398166,5.28270673134436e-05,-0.005457569427490988,-0.0007158044083329279,-0.0023461633437758273,-0.000721343091126287,-0.007715557265867629,-0.0007190587256943929,-0.0022716486040853623,-0.0007251744579398189,-0.0020048885044395815,-0.0007163746339144007,-0.004859585075090432,-0.0007293580105391809
16,0.00030120721473763637,-0.008903592525191007,-0.0006965766141913278,-0.003702859079104577,0.0002213996419046664,0.0023234357135147213,3.9153356163726695e-05,-0.005242766969539475,-0.0006886566952857955,-0.0022423427017356327,-0.0006977967170572705,-0.007286446176979851,-0.0006917658884134751,-0.0019996819366959948,-0.0006978816340110192,-0.0019774809363347565,-0.0006892154629617834,-0.004613549286408866,-0.000697935166128518
17,-0.00025828210307414257,-0.009716951689633099,-0.0011842007994504445,-0.007376137837199738,-0.00034070246358299894,0.0005131863810608402,-0.0001459866402285027,-0.007295696214356845,-0.0011707194822891814,-0.005384731189174951,-0.0011895277714961741,-0.008935341588887301,-0.001176674939228918,-0.00569751570772346,-0.001181506418205259,-0.00684113610679486,-0.0011719652402041691,-0.006886045920487791,-0.001185922574377312
18,-0.00048163270153534876,-0.009604023921132663,-0.0012708175462396072,-0.00738334472271879,-0.0005605975612292331,-0.0009294468835145371,-0.00022327333191325062,-0.007463533067900341,-0.001255747404561087,-0.0059085542338775075,-0.001281810370192407,-0.008477023585852249,-0.001262184973983598,-0.006856844483545923,-0.0012662395183758556,-0.008397842515373895,-0.0012571637185714542,-0.007046163352929444,-0.0012683399041454515
19,-0.00043199184462350856,-0.008809660798651914,-0.0011279189371763484,-0.007163578359974074,-0.0005033445859733898,-0.0009761231564428147,-0.000330048250787136,-0.006067362693454798,-0.001114354528786377,-0.00573432254503497,-0.001141260662310371,-0.0056750708315214,-0.0011197800593360993,-0.006725127520993797,-0.0011238378489150888,-0.00825080478807368,-0.001115757322010551,-0.005423363986476545,-0.0011224092839773583
20,-0.0011602551186241357,-0.008464126929130154,-0.0017387475713964106,-0.012049398980239635,-0.0012207429910025907,-0.0016935231369818726,-0.000553944579503474,-0.008626690188780898,-0.001710075728920348,-0.009871100296882027,-0.0017509225213599583,-0.007751665116499675,-0.001722052747898013,-0.011795903853089046,-0.0017207411698851687,-0.015224603199422981,-0.001713438367621332,-0.008344081362355704,-0.0017477254341407415
21,-0.0013305469544061751,-0.00787892488766875,-0.001826077524039414,-0.012918591603542121,-0.0013834627365609936,-0.0018562428825402517,-0.0006940527105331841,-0.008451535659152968,-0.0017937646839042815,-0.010600268423421594,-0.0018384813322075936,-0.008107293843632455,-0.0018072929979299737,-0.01270377099471041,-0.0018046305678808112,-0.016488730599705615,-0.0017975982288659768,-0.008851984549237964,-0.001838062544929699
22,-0.0012369616193565127,-0.004294699430412964,-0.0013565608450182983,-0.00947443848409671,-0.0012556857075157204,-0.0017284652105977298,-0.0005050392197161354,-0.006573712197465142,-0.001336812432091703,-0.0075298094408658475,-0.0013704821833434345,-0.0072113808389612,-0.0013449666601356813,-0.00922398947412841,-0.0013472450017157818,-0.01105524260960409,-0.0013389551184888294,-0.006997924055133692,-0.001355897483509499
23,-0.0006852195263970343,-0.003131935834608921,-0.0007391422068179052,-0.00474681310271793,-0.0006980929913744429,-0.0011708729813835644,-0.000295906057966812,-0.0038538001770921566,-0.0007297785849001363,-0.0036761989720129006,-0.0007545320803855608,-0.004613987496905389,-0.0007332771532829231,-0.004384837597846211,-0.0007386370103307158,-0.0051349183254404285,-0.0007306226533530021,-0.0039749471669888025,-0.0007279687468528225
